Track URI,Track Name,Artist Name(s),genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:6faGpkrP2X3xq01FKdUE3c,Reasons,Eric K.,N/A,0.391,0.801,11,-5.413,1,0.0444,0.114,0.0,0.592,0.541,121.91
spotify:track:70kHicvaRXY76VbZ0CIe1p,Guilty Conscience - Zookëper Remix,"070 Shake, Zookëper","new jersey rap, electro house",0.675,0.926,4,-3.979,0,0.0394,0.000662,0.0905,0.361,0.247,124.006
spotify:track:5O8YitHEy3y7p8M49xsZQ4,Cocaine,Phantoms,la pop,0.787,0.686,4,-6.484,0,0.0405,0.00277,0.263,0.0727,0.558,120.948
spotify:track:2ksyzVfU0WJoBpu8otr4pz,METAMORPHOSIS,INTERWORLD,phonk brasileiro,0.593,0.641,7,-12.727,0,0.0992,0.426,0.901,0.122,0.147,175.014
spotify:track:1o9LXeLmCgx7YVWeMNB3GZ,Encounters,"Yotto, Booka Shade","finnish edm, melodic house, progressive house, electronica, frankfurt electronic, german techno, minimal techno",0.408,0.729,2,-7.911,1,0.0343,0.00146,0.908,0.0891,0.0327,121.995
spotify:track:4jrXcjE0rKXu4svwQ7IYzD,Night Drive,Wilee,"anime phonk, chill phonk",0.672,0.99,0,-3.811,1,0.0392,0.137,0.851,0.103,0.15,119.957
spotify:track:0DDN8VNyAP71ExRFbcRhbU,Paris Madness,Samaran,N/A,0.812,0.684,1,-9.054,1,0.0587,0.0027,0.912,0.0823,0.65,121.992
spotify:track:1HNYSCqOyZFVDkEfYl1Eds,Tasty - Extended Mix,Me & My Toothbrush,N/A,0.878,0.754,0,-5.018,0,0.0599,0.0174,0.276,0.031,0.935,121.984
spotify:track:5Z1E4jrUzitOQRczI8gfSL,Let It Happen - Soulwax Remix,"Tame Impala, Soulwax","australian psych, modern rock, neo-psychedelic, rock, alternative dance, belgian electronic, belgian indie, belgian indie rock, belgian rock, electronica, filter house, ghent indie, mashup",0.745,0.847,1,-4.566,0,0.0341,0.191,0.808,0.112,0.774,125.02
spotify:track:2aahxM4jGWFWgMzmHpelAR,Caught in a Dream,"PALASTIC, LissA","austrian pop, indie electropop",0.701,0.592,9,-10.567,1,0.147,0.782,0.0686,0.0832,0.455,120.007
spotify:track:056o22JVIosLPAF9ZTPVqV,Like Home,Robby East,"dutch edm, future house",0.768,0.656,4,-8.038,0,0.0642,0.0535,0.046,0.102,0.21,120.006
spotify:track:4lgEtC1W3xZSRFoJuPLmkk,Virgo,Le Youth,"house, melodic house, nu disco, uk dance",0.593,0.871,8,-8.068,1,0.0386,0.279,0.894,0.131,0.0719,121.994
spotify:track:1YKp8PG1DEQJ0hLc2CJGO8,You Give Me A Feeling,"Vintage Culture, James Hype","brazilian edm, deep groove house, house, pop dance, uk dance",0.761,0.867,2,-6.168,1,0.0499,0.259,0.615,0.0689,0.679,126.03
spotify:track:4ga4WvRNhMsIL38pkBbnIN,Pressure (feat. Tove Lo),"Martin Garrix, Tove Lo","dutch edm, edm, pop, pop dance, progressive house, dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978
spotify:track:6PvUlS1uQXWljH7RP1AOzi,nCTRL - Lane 8 Remix,"Sultan + Shepard, Lane 8","canadian electronic, melodic house, progressive house, gauze pop, melodic house, progressive house",0.711,0.87,3,-8.572,0,0.0373,0.00186,0.874,0.118,0.16,123.015
spotify:track:3xtrM3vQ6UsLQcI3edvtv4,Yours,"ZHU, Arctic Lake","edm, electro house, vapor pop",0.686,0.699,4,-6.084,0,0.0481,0.294,0.557,0.076,0.0937,122.951
spotify:track:5JZ8RfDr77rUuaqmggMwx0,9th Ave,Rodg,"progressive house, progressive trance",0.623,0.8,10,-5.532,1,0.0373,0.0903,0.859,0.122,0.367,128.026
spotify:track:10oKSzRcwbZsog2uq2gb4b,Escape (feat. Hayla),"Kx5, deadmau5, Kaskade, Hayla","melodic house, canadian electronic, complextro, edm, electro house, pop dance, progressive house, edm, electro house, pop dance, progressive electro house, progressive house, vocal house, N/A",0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08
spotify:track:3CNznwvl3yoVY9JE0TTYTA,Someone New,"Natasha Eklove, Nicky Night Time","N/A, deep groove house",0.573,0.943,2,-3.777,1,0.0367,0.0173,0.641,0.31,0.17,124.014
spotify:track:0JLiYHwL8CXEysiurWmdow,Light,Nu Aspect,bassline,0.656,0.776,11,-9.445,0,0.0351,0.00408,0.778,0.346,0.338,125.975
spotify:track:4MdhJw0k22Qmfg5KPKbVXQ,I Don't Wanna Leave - Innellea Remix,"RÜFÜS DU SOL, Innellea","australian electropop, indietronica, melodic house, munich electronic",0.414,0.626,7,-6.728,0,0.0347,0.0274,0.187,0.0908,0.0569,121.979
spotify:track:7nsrqiLvUSMUvNrl1f6CDp,Suddenly Funk - Ao Vivo,"Renato Cohen, Showlivre","N/A, N/A",0.755,0.576,3,-13.941,0,0.0967,0.00106,0.814,0.0901,0.545,121.97
spotify:track:2jAaDaQ01dk74X4njfkXP3,On My Mind - Purple Disco Machine Remix,"Diplo, SIDEPIECE, Purple Disco Machine","dance pop, edm, electro house, moombahton, pop dance, edm, house, tech house, deep house, house",0.73,0.69,0,-6.396,1,0.033,0.0983,0.0624,0.182,0.748,123.01
spotify:track:4Wqt3AN9VdDLSasuomSYmI,On My Mind,Algrthm,N/A,0.855,0.582,8,-5.428,1,0.0414,0.00875,0.026,0.0766,0.454,122.998
spotify:track:5cCpw4oO9AoTD3wIQsqTav,Dazzy Dancing,Hard Drive Library,N/A,0.847,0.886,10,-6.822,0,0.0681,0.00191,0.944,0.0363,0.962,124.02
spotify:track:6G1xbK7qXNAavlh6Zl18eK,If I Can't Get Down - Mousse T.'s Funky Shizzle Extended Mix,"Mike Dunn, Mousse T.","chicago house, classic house, deep house, deep house, disco house, vocal house",0.837,0.921,0,-3.825,1,0.089,0.0261,0.545,0.28,0.801,124.044
spotify:track:2s0vj1rCpELhmiDTTPI3hK,Woman Like You - Sorley Remix,"kryptogram, Sorley","ukg revival, tech house, uk tech house",0.929,0.457,1,-7.903,1,0.0869,0.00125,0.00883,0.0993,0.808,125.969
spotify:track:60aUfRZyvfi37ibBdiTJ9f,I Confess (feat. ROMÉO),"Biscits, ROMÉO","bass house, house, tech house, uk dance, uk tech house, N/A",0.779,0.854,6,-5.612,0,0.118,0.22,0.000438,0.396,0.382,126.996
spotify:track:0P0hNKxaRNFAnPFp4fER3L,euphoria,Aaron Hibell,"stutter house, uk dance",0.49,0.841,7,-5.944,0,0.0455,0.149,0.000156,0.108,0.0642,123.947
spotify:track:2J6732rDHO3g2JQ3hjwdHL,I Want You,"MANIBA, Gil Glaze, Penny F.","N/A, swiss pop, N/A",0.591,0.924,10,-5.16,0,0.0501,0.0254,0.0221,0.464,0.233,124.009
spotify:track:1WrbITB7XHMny6iBJv15CI,Silence,"Danny Leax, Sonam","future bounce, N/A",0.739,0.645,9,-9.497,1,0.212,0.467,0.0,0.445,0.345,125.061
spotify:track:2xR07IZkY8qs0djt1Y4p5c,Fade Into Black (Club Mix),"Tinlicker, Panama","melodic house, australian indie, indietronica, nu disco, shimmer pop",0.618,0.957,7,-7.9,0,0.0432,0.00206,0.694,0.101,0.0315,122.987
spotify:track:0XN8ZXAeeULCJLjRIgEqdX,Chrysalis (Two To One),"Tritonal, Linney, Johan Vilborg, Adam Szabo","edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, N/A, progressive house, progressive trance, progressive trance house, N/A",0.571,0.818,1,-6.62,0,0.0333,0.00243,0.000117,0.161,0.207,127.968
spotify:track:4qOErzIVJ5dGY9U0aAZhwz,All I Need,Forester,stutter house,0.503,0.983,10,-3.785,0,0.111,0.0861,0.131,0.088,0.343,181.548
spotify:track:23E8Vr8RGP54IoP0n4Lr4Z,Chemistry,"KREAM, Camden Cox, IDEMI","pop dance, stutter house, N/A",0.688,0.782,11,-5.642,0,0.041,0.00656,0.0031,0.258,0.5,124.024
